dish_id,calories,mass,fat,carb,protein,calorie_category,protein_density,fat_cal_pct,carb_cal_pct,protein_cal_pct
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,Sedang (300-600 kkal),0.09654906735751297,37.0643353422002,37.525035258233515,24.77968655261767
dish_1562688426,137.569992,88.0,8.256,5.19,10.297,Rendah (100-300 kkal),0.11701136363636365,54.01177896412176,15.090500259678723,29.93966881963619
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,Sedang (300-600 kkal),0.08873490753424657,51.15031089328311,25.130287546944096,24.709773260785404
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,Sedang (300-600 kkal),0.12188064482758622,52.23365224753132,10.626896230767112,36.92034948256167
dish_1560455030,20.59,103.0,0.148,4.625,0.956,Sangat Rendah (<100 kkal),0.009281553398058253,6.469159786304031,89.84944147644488,18.57212238950947
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,Sangat Rendah (<100 kkal),0.13999999999999999,3.46153841498738,2.3076922766582535,107.69230624405184
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001,Rendah (100-300 kkal),0.08900000840336135,55.38461466858933,24.615384297150815,18.256411744153265
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,Sangat Rendah (<100 kkal),0.019003438848920865,31.036363268193323,61.947549829877836,23.230513672357283
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,Sedang (300-600 kkal),0.05538745387453874,40.083423678073075,39.65079198163001,19.41345818717638
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,Rendah (100-300 kkal),0.01634115300546448,37.22775694375623,58.01423663413766,9.96325172790443
dish_1550795690,68.119995,131.0,0.262,18.34,0.393,Sangat Rendah (<100 kkal),0.003,3.4615387156149966,107.69231559691102,2.3076924770766643
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,Rendah (100-300 kkal),0.09960454819277109,20.62073340087694,26.47845966762804,53.76851246737525
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,Rendah (100-300 kkal),0.13999999999999999,56.25000086449796,7.500000115266396,35.00000053790984
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,Sangat Rendah (<100 kkal),0.007,4.736842211804818,98.24561624484066,4.912280812242034
dish_1550876012,253.520004,207.0,4.455999,12.46,38.608002,Rendah (100-300 kkal),0.18651208695652174,15.8188665064868,19.659198175146763,60.915117372749805
dish_1551565034,7.79,19.0,0.038,1.9,0.171,Sangat Rendah (<100 kkal),0.009000000000000001,4.390243902439024,97.5609756097561,8.78048780487805
dish_1550860747,39.5,79.0,0.079,10.27,0.395,Sangat Rendah (<100 kkal),0.005,1.7999999999999998,104.0,4.0
dish_1566245398,506.355377,230.0,31.183908,4.258222,49.023197,Sedang (300-600 kkal),0.21314433478260872,55.42652151988504,3.363820900039539,38.72631691240044
dish_1563381680,32.459999,6.0,2.52,0.084,2.22,Sangat Rendah (<100 kkal),0.37000000000000005,69.87061213402994,1.0351201797634066,27.35674760803289
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,Sangat Rendah (<100 kkal),0.029526,56.178587088099775,31.85570509393532,27.24000448663696
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,Sangat Tinggi (>1000 kkal),0.113997976,41.44812894081144,26.766950087679533,30.63388126415514
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,Rendah (100-300 kkal),0.08019672131147541,58.74329311043134,33.23224087699843,14.265718003709752
dish_1550778583,67.759995,88.0,0.088,14.96,1.76,Sangat Rendah (<100 kkal),0.02,1.1688312550790476,88.31169482819472,10.389611156258201
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761,Tinggi (600-1000 kkal),0.07499323799582462,38.53966877137546,39.80670734570367,21.647576478119138
