ingr_name,ingr_id,cal/g,fat(g),carb(g),protein(g),calorie_density_category,macro_dominant
cottage cheese,ingr_0000000001,0.98,0.043,0.034,0.11,Rendah (<1 kkal/g),Protein
strawberries,ingr_0000000002,0.33,0.003,0.08,0.007,Rendah (<1 kkal/g),Karbohidrat
garden salad,ingr_0000000003,0.646,0.034,0.032,0.061,Rendah (<1 kkal/g),Protein
bacon,ingr_0000000004,5.41,0.42,0.014,0.37,Tinggi (3-6 kkal/g),Lemak
potatoes,ingr_0000000005,0.77,0.001,0.17,0.02,Rendah (<1 kkal/g),Karbohidrat
caesar salad,ingr_0000000006,0.44,0.021,0.043,0.032,Rendah (<1 kkal/g),Karbohidrat
cauliflower,ingr_0000000007,0.25,0.003,0.05,0.018,Rendah (<1 kkal/g),Karbohidrat
scrambled eggs,ingr_0000000008,1.48,0.11,0.016,0.1,Sedang (1-3 kkal/g),Lemak
wild rice,ingr_0000000009,1.19,0.004,0.25,0.05,Sedang (1-3 kkal/g),Karbohidrat
steak,ingr_0000000010,2.71,0.19,0.0,0.25,Sedang (1-3 kkal/g),Protein
cheese pizza,ingr_0000000011,2.659,0.094,0.335,0.112,Sedang (1-3 kkal/g),Karbohidrat
olives,ingr_0000000012,1.15,0.107,0.063,0.008,Sedang (1-3 kkal/g),Lemak
berries,ingr_0000000013,0.57,0.003,0.14,0.007,Rendah (<1 kkal/g),Karbohidrat
asparagus,ingr_0000000014,0.204,0.001,0.039,0.022,Rendah (<1 kkal/g),Karbohidrat
hash browns,ingr_0000000015,3.26,0.22,0.32,0.026,Tinggi (3-6 kkal/g),Karbohidrat
brussels sprouts,ingr_0000000016,0.43,0.003,0.09,0.034,Rendah (<1 kkal/g),Karbohidrat
pasta salad,ingr_0000000017,2.015,0.119,0.173,0.059,Sedang (1-3 kkal/g),Karbohidrat
turkey,ingr_0000000018,1.89,0.07,0.001,0.29,Sedang (1-3 kkal/g),Protein
bread,ingr_0000000019,2.654,0.042,0.423,0.135,Sedang (1-3 kkal/g),Karbohidrat
duck,ingr_0000000020,3.37,0.28,0.0,0.19,Tinggi (3-6 kkal/g),Lemak
squash,ingr_0000000021,0.205,0.003,0.034,0.009,Rendah (<1 kkal/g),Karbohidrat
guacamole,ingr_0000000022,2.0,0.171,0.086,0.029,Sedang (1-3 kkal/g),Lemak
brown rice,ingr_0000000023,1.11,0.009,0.23,0.026,Sedang (1-3 kkal/g),Karbohidrat
artic char,ingr_0000000024,1.54,0.081,0.0,0.2,Sedang (1-3 kkal/g),Protein
beef,ingr_0000000025,2.5,0.15,0.0,0.26,Sedang (1-3 kkal/g),Protein
white rice,ingr_0000000026,1.3,0.003,0.28,0.027,Sedang (1-3 kkal/g),Karbohidrat
broccoli,ingr_0000000027,0.35,0.004,0.07,0.024,Rendah (<1 kkal/g),Karbohidrat
chicken,ingr_0000000028,1.65,0.036,0.0,0.31,Sedang (1-3 kkal/g),Protein
mixed greens,ingr_0000000029,0.28,0.004,0.053,0.022,Rendah (<1 kkal/g),Karbohidrat
lettuce,ingr_0000000030,0.15,0.002,0.029,0.014,Rendah (<1 kkal/g),Karbohidrat
cucumbers,ingr_0000000031,0.1,0.0,0.02,0.01,Rendah (<1 kkal/g),Karbohidrat
tomatoes,ingr_0000000032,0.34,0.007,0.068,0.007,Rendah (<1 kkal/g),Karbohidrat
bell peppers,ingr_0000000033,0.4,0.002,0.09,0.02,Rendah (<1 kkal/g),Karbohidrat
celery,ingr_0000000034,0.16,0.002,0.034,0.007,Rendah (<1 kkal/g),Karbohidrat
blue cheese,ingr_0000000035,3.53,0.29,0.023,0.21,Tinggi (3-6 kkal/g),Lemak
spinach (raw),ingr_0000000036,0.23,0.004,0.036,0.029,Rendah (<1 kkal/g),Karbohidrat
cantaloupe,ingr_0000000037,0.34,0.002,0.08,0.008,Rendah (<1 kkal/g),Karbohidrat
pineapple,ingr_0000000038,0.5,0.001,0.13,0.005,Rendah (<1 kkal/g),Karbohidrat
sausage,ingr_0000000039,3.446,0.273,0.042,0.193,Tinggi (3-6 kkal/g),Lemak
raspberries,ingr_0000000040,0.53,0.007,0.12,0.012,Rendah (<1 kkal/g),Karbohidrat
blackberries,ingr_0000000041,0.43,0.005,0.092,0.014,Rendah (<1 kkal/g),Karbohidrat
avocado,ingr_0000000042,1.6,0.15,0.09,0.02,Sedang (1-3 kkal/g),Lemak
green beans,ingr_0000000043,0.31,0.001,0.07,0.018,Rendah (<1 kkal/g),Karbohidrat
bean sprouts,ingr_0000000044,0.3,0.002,0.059,0.03,Rendah (<1 kkal/g),Karbohidrat
carrot,ingr_0000000045,0.41,0.002,0.1,0.009,Rendah (<1 kkal/g),Karbohidrat
mushroom,ingr_0000000046,0.22,0.003,0.033,0.031,Rendah (<1 kkal/g),Karbohidrat
corn,ingr_0000000047,0.96,0.015,0.21,0.034,Rendah (<1 kkal/g),Karbohidrat
ham,ingr_0000000048,1.45,0.06,0.015,0.21,Sedang (1-3 kkal/g),Protein
fish,ingr_0000000049,0.9,0.13,0.0,0.184,Rendah (<1 kkal/g),Protein
tofu,ingr_0000000050,0.73,0.048,0.019,0.08,Rendah (<1 kkal/g),Protein
shrimp,ingr_0000000051,0.99,0.003,0.002,0.24,Rendah (<1 kkal/g),Protein
cheese,ingr_0000000052,4.02,0.33,0.013,0.25,Tinggi (3-6 kkal/g),Lemak
nuts,ingr_0000000053,6.07,0.54,0.21,0.2,Sangat Tinggi (>6 kkal/g),Lemak
apple,ingr_0000000054,0.52,0.002,0.14,0.003,Rendah (<1 kkal/g),Karbohidrat
banana,ingr_0000000055,0.89,0.003,0.23,0.011,Rendah (<1 kkal/g),Karbohidrat
kiwi,ingr_0000000056,0.61,0.005,0.15,0.011,Rendah (<1 kkal/g),Karbohidrat
lemon,ingr_0000000057,0.29,0.003,0.09,0.011,Rendah (<1 kkal/g),Karbohidrat
orange,ingr_0000000058,0.47,0.001,0.12,0.009,Rendah (<1 kkal/g),Karbohidrat
oatmeal,ingr_0000000059,0.68,0.014,0.12,0.024,Rendah (<1 kkal/g),Karbohidrat
tortilla,ingr_0000000060,2.18,0.029,0.45,0.06,Sedang (1-3 kkal/g),Karbohidrat
potato chips,ingr_0000000061,5.36,0.35,0.53,0.07,Tinggi (3-6 kkal/g),Karbohidrat
